r,epsilon,n,horizon,seed,motif_size,frame_even,frame_odd,motif_even,motif_odd,comp_even,parity,wall_spectral_entropy,max_cluster_lifetime,atlas_score,motif_repeat_rate,top_transition_frequency,transition_entropy
3.8625,0.132,320,1440,17,4,0.9173464641210456,0.13500558276874192,0.8018934165028446,0.00014061775886781047,1.1534525431143846e-05,0.8017527987439769,0.2603476076743621,2,0.004511255585623404,0.00014767199444058374,0.919169127866574,0.8468516840909636
3.8625,0.132,320,1440,17,6,0.9173464641210456,0.13500558276874192,0.7421347338719682,8.995812744577169e-06,0.0,0.7421257380592235,0.2603476076743621,2,0.004511255585623404,8.686587908269631e-06,0.6873023801250868,0.8654293630663055
3.8625,0.132,320,1440,42,4,0.9238662733624438,0.12673976051492886,0.8137424806642268,4.41696113074205e-07,0.0,0.8137420389681137,0.1766754523276438,1,0.0020804435101004657,4.343293954134816e-06,0.9244592599027102,0.8299134571101683
3.8625,0.132,320,1440,42,6,0.9238662733624438,0.12673976051492886,0.7544468376642277,0.0,0.0,0.7544468376642277,0.1766754523276438,1,0.0020804435101004657,0.0,0.7140331827658096,0.8500640924234252
3.8625,0.132,320,1440,73,4,0.9246448268675428,0.12222305977804951,0.8162072577689777,8.426327798199595e-05,2.1083854863418492e-05,0.8161229944909958,0.36810774209843283,0,0.0,7.383599722029187e-05,0.9249109624739402,0.8102574831162183
3.8625,0.132,320,1440,73,6,0.9246448268675428,0.12222305977804951,0.7550044753432156,8.995715709496629e-07,0.0,0.7550035757716447,0.36810774209843283,0,0.0,4.343293954134816e-06,0.7188064628214037,0.8334488038924311
3.8625,0.132,320,1440,101,4,0.9256349611395145,0.12318398510811768,0.8191789102321885,9.283160297358377e-06,0.0,0.8191696270718911,0.23106327980014837,1,0.0021478345558240152,1.3029881862404447e-05,0.9393806462821404,0.8356373316019426
3.8625,0.132,320,1440,101,6,0.9256349611395145,0.12318398510811768,0.7661369980858528,4.41696113074205e-07,0.0,0.7661365563897397,0.23106327980014837,1,0.0021478345558240152,0.0,0.7354456219596942,0.8648310968303263
3.8625,0.132,320,1440,137,4,0.9264103759192845,0.12115749342990494,0.8239616504246143,0.00018558913906655748,6.526139018476659e-05,0.8237760612855478,0.18194696839482555,1,0.002069528479933003,4.777623349548298e-05,0.9263616226546213,0.804533691194474
3.8625,0.132,320,1440,137,6,0.9264103759192845,0.12115749342990494,0.7695355011253768,3.0270872884903518e-05,7.306167615718027e-06,0.769505230252492,0.18194696839482555,1,0.002069528479933003,4.343293954134816e-06,0.7259772411396803,0.8168196032206875
3.8625,0.132,320,1440,173,4,0.9128125,0.1453136985949306,0.7928125,0.0,0.0,0.7928125,0.11931925373449763,2,0.0041459920082731186,0.0,0.8992008339124392,0.8504722612504086
3.8625,0.132,320,1440,173,6,0.9128125,0.1453136985949306,0.7309374999999999,0.0,0.0,0.7309374999999999,0.11931925373449763,2,0.0041459920082731186,0.0,0.6695035615010424,0.8677335661218706
3.8625,0.132,320,1440,211,4,0.9157306636085213,0.13851267134113338,0.7946551598379447,0.00011354874754995793,1.9161213186829215e-05,0.7945416110903947,0.5794061806020491,39,0.06890841363010276,2.6059763724808894e-05,0.9162612925642808,0.8568037466703217
3.8625,0.132,320,1440,211,6,0.9157306636085213,0.13851267134113338,0.730595854212625,6.946605218128518e-06,0.0,0.7305889076074068,0.5794061806020491,39,0.06890841363010276,0.0,0.6869375434329396,0.8892140331133193
3.8625,0.132,320,1440,257,4,0.9184493718655009,0.1339118793856799,0.8042371449233763,7.942163877031579e-05,1.0300273074105672e-05,0.804157723284606,0.29535432779317355,1,0.0023001009328454365,6.297776233495482e-05,0.8998805594162613,0.8116927954150386
3.8625,0.132,320,1440,257,6,0.9184493718655009,0.1339118793856799,0.7443862337534648,1.7991431418993258e-06,0.0,0.7443844346103229,0.29535432779317355,1,0.0023001009328454365,8.686587908269631e-06,0.6967816191799862,0.8253448278510069
3.8625,0.132,320,1440,307,4,0.9357834330453496,0.10623389382773636,0.8422032671615526,2.869731218540832e-05,4.332741552724163e-06,0.8421745698493672,0.281398175340768,1,0.0021421132170057816,1.3029881862404447e-05,0.9597680681028492,0.8046721767270688
3.8625,0.132,320,1440,307,6,0.9357834330453496,0.10623389382773636,0.7882352819039562,0.0,0.0,0.7882352819039562,0.281398175340768,1,0.0021421132170057816,0.0,0.7699270326615706,0.8407350641756625
3.8625,0.132,320,1440,359,4,0.9112345082597569,0.14644003377143955,0.7900461661798499,4.5760974288902826e-05,1.716753612950518e-05,0.790000405205561,0.16044506645894438,1,0.0021479996708536632,1.3029881862404447e-05,0.9088733495482975,0.8681673864748628
