r,epsilon,order,entropy,sensitivity,domain_wall_density,largest_cluster_fraction,cluster_count,autocorrelation_length,motif_lifetime_proxy,structure_score,sensitivity_corrected,structure_score_corrected
3.89,0.8,0.6391501294988384,0.7782614629331249,244632134.9563626,0.1253333333333333,0.3392222222222222,4.512,3.092,0.0,20441313.094436653,0.9999966589017959,0.08355911541077171
3.89,0.8250000000000001,0.6383029048480422,0.768591616331877,234631906.9528823,0.1146666666666666,0.359,4.128,3.328,0.0,19313109.59907063,0.9999967501104342,0.08231210786466318
3.89,0.8500000000000001,0.6450805781654275,0.763214145032251,250802309.0103728,0.1132222222222222,0.3755,4.076,3.388,0.0,21022262.39613773,0.9999965619875277,0.08381976308068188
3.89,0.875,0.6474581171762639,0.7612277251613057,254191074.3810556,0.1323333333333333,0.3401666666666666,4.764,3.104,0.0,21605264.054113887,0.999996759114779,0.08499587991647876
3.89,0.9,0.6305195312392012,0.7911997495689211,250303958.1891914,0.1773333333333333,0.3284444444444445,6.384,3.552,0.0,23427801.686516885,0.9999967022087095,0.09359709928681494
3.9,0.65,0.637705435219283,0.7689852108583043,249175872.9414333,0.1388888888888889,0.3095,5.0,2.756,0.0,20408287.816559657,0.999996722657446,0.08190287723565562
3.9,0.675,0.6347521225788295,0.781710212892269,250985437.10848448,0.1415555555555555,0.3097777777777778,5.096,2.768,0.0,20799452.737073436,0.9999967645441272,0.08287088558198585
3.9,0.7000000000000001,0.6320796832228965,0.7809926532284174,248242965.9267357,0.1275555555555555,0.3383888888888889,4.592,3.072,0.0,20355773.08441432,0.9999968320747497,0.08199913549556279
3.9,0.7250000000000001,0.6402621176541359,0.7653160512905655,254533369.3733986,0.1334444444444444,0.3358333333333333,4.804,2.924,0.0,21039079.358716294,0.9999967597638231,0.08265718258837078
3.9,0.75,0.6364317605007861,0.7688829526795155,245458936.47937745,0.1228888888888889,0.3591111111111111,4.424,3.104,0.0,20056975.39441477,0.9999967841937821,0.0817118789103598
3.9,0.775,0.6350122876424209,0.7946984141943569,246842420.85641357,0.1484444444444444,0.2919444444444444,5.344,2.7,0.0,20919694.8380454,0.9999967450355467,0.0847489125758944
3.9,0.8,0.6313859045297949,0.7891071164415407,257949234.4129029,0.129,0.3183888888888889,4.644,3.108,0.0,21367777.670838278,0.9999966573355137,0.08283686630883004
3.9,0.8250000000000001,0.6310130784146172,0.7937120085804443,250560992.08169,0.1328888888888889,0.3202222222222222,4.784,3.164,0.0,21068665.66084324,0.9999967525374283,0.08408570330960019
3.9,0.8500000000000001,0.6409838654067999,0.7684072611385768,247244707.12946895,0.1181111111111111,0.3668888888888889,4.252,3.328,0.0,20659201.07119899,0.9999968138089148,0.08355744188375532
3.9,0.875,0.636359012989852,0.7804360053950706,243845786.67676204,0.1395555555555555,0.3330555555555555,5.024,3.18,0.0,20849713.664496,0.9999967914036592,0.08550341201432764
