r,epsilon,n,horizon,seed,motif_size,frame_even,frame_odd,motif_even,motif_odd,comp_even,parity,wall_spectral_entropy,max_cluster_lifetime,atlas_score
3.8625,0,30,360,101,6,0.5185574322630775,0.5152109973511366,0.019029278964762836,0.020787959894175735,0.011752595970337907,0.0,0.9316271380584991,7,0.0
3.8625,0,30,360,707,4,0.5256713497076401,0.5206338526411175,0.07476773495321883,0.07601630382478661,0.05144023628701048,0.0,0.9304289430357517,8,0.0
3.8625,0,30,360,707,6,0.5256713497076401,0.5206338526411175,0.020346441193215388,0.021309013759905994,0.011886183708764356,0.0,0.9304289430357517,8,0.0
3.8625,0,30,360,1313,4,0.5196226971952779,0.5192621342685579,0.07553848884090819,0.07280302686846675,0.053124180926600276,0.0027354619724414414,0.9074947660924332,7,0.0
3.8625,0,30,360,1313,6,0.5196226971952779,0.5192621342685579,0.02144758914920205,0.01935546597725067,0.01147457828909442,0.002092123171951378,0.9074947660924332,7,0.0
3.8625,0,30,720,101,4,0.5250975842502288,0.514824502255299,0.0761347932555754,0.07057103404986119,0.05016849441845519,0.005563759205714211,0.9259129886216452,7,0.0
3.8625,0,30,720,101,6,0.5250975842502288,0.514824502255299,0.02098821010352766,0.019640583866968493,0.011096971562724023,0.0013476262365591657,0.9259129886216452,7,0.0
3.8625,0,30,720,707,4,0.5251384010924955,0.5222399235117086,0.07602203552735481,0.07551053389184177,0.051828847112455625,0.0005115016355130425,0.9249499052671141,8,0.0
3.8625,0,30,720,707,6,0.5251384010924955,0.5222399235117086,0.02031966202321817,0.020902278684076347,0.011466418722633405,0.0,0.9249499052671141,8,0.0
3.8625,0,30,720,1313,4,0.5200831739986386,0.5200559538319028,0.07354438481642418,0.07255274993023139,0.05344763427648662,0.000991634886192791,0.921979757931601,7,0.0
3.8625,0,30,720,1313,6,0.5200831739986386,0.5200559538319028,0.01967990986624088,0.019479606731356895,0.012222225756669817,0.00020030313488398482,0.921979757931601,7,0.0
3.8625,0,40,360,101,4,0.5204497182924602,0.5130977109381949,0.07366358406378568,0.07036307733917668,0.0522718591891979,0.0033005067246089925,0.9136395006210384,6,0.0
3.8625,0,40,360,101,6,0.5204497182924602,0.5130977109381949,0.019479798427379076,0.019041635742476443,0.011567870637427091,0.0004381626849026335,0.9136395006210384,6,0.0
3.8625,0,40,360,707,4,0.5277446894503346,0.521740183816716,0.07655475169991299,0.07770723159187333,0.04912181367020078,0.0,0.9269003534062563,12,0.0
3.8625,0,40,360,707,6,0.5277446894503346,0.521740183816716,0.021814812539610928,0.022174990102669732,0.011602129053741958,0.0,0.9269003534062563,12,0.0
3.8625,0,40,360,1313,4,0.5189685600018261,0.5248119698478708,0.07339186418420289,0.07591552761834053,0.05276881116195632,0.0,0.8974407623208037,8,0.0
3.8625,0,40,360,1313,6,0.5189685600018261,0.5248119698478708,0.019838228975325754,0.020939432772345477,0.01157682169980557,0.0,0.8974407623208037,8,0.0
3.8625,0,40,720,101,4,0.5254428627330643,0.514826570815283,0.07610562618932491,0.07016925350994473,0.0505026111578354,0.005936372679380186,0.9209822665365472,6,0.0
3.8625,0,40,720,101,6,0.5254428627330643,0.514826570815283,0.02068569748616032,0.01888643357578151,0.011291601258073488,0.0017992639103788094,0.9209822665365472,6,0.0
3.8625,0,40,720,707,4,0.5247295827467797,0.5218521971464182,0.07516400502544533,0.07603117914308219,0.050803221740684835,0.0,0.9256417426865976,12,0.0
3.8625,0,40,720,707,6,0.5247295827467797,0.5218521971464182,0.019988005867063195,0.02111895068415128,0.011301190500679478,0.0,0.9256417426865976,12,0.0
3.8625,0,40,720,1313,4,0.5219197789344039,0.5208308282921982,0.07416141582427117,0.07280059442417107,0.05207966085104419,0.001360821400100104,0.9245099557562073,5,0.0
3.8625,0,40,720,1313,6,0.5219197789344039,0.5208308282921982,0.020141737437067535,0.01951372446904221,0.011886492122718584,0.0006280129680253238,0.9245099557562073,5,0.0
3.8625,0,60,360,101,4,0.5181505409912668,0.5143680139388496,0.07174588180636568,0.07175472654159845,0.05341130151210797,0.0,0.8881594955825832,9,0.0
3.8625,0,60,360,101,6,0.5181505409912668,0.5143680139388496,0.019320911167685362,0.018906530348547588,0.012432335809351939,0.0004143808191377739,0.8881594955825832,9,0.0
3.8625,0,60,360,707,4,0.5261210295081262,0.5234161714543901,0.07564454743285388,0.07615265979935354,0.050696737626173105,0.0,0.9153054139691068,5,0.0
3.8625,0,60,360,707,6,0.5261210295081262,0.5234161714543901,0.020608771604739347,0.02141540378215903,0.011335076437899019,0.0,0.9153054139691068,5,0.0
3.8625,0,60,360,1313,4,0.5217254582335228,0.5238546433760843,0.07474997851610755,0.0744347313222757,0.051977775137049334,0.00031524719383185795,0.9144763853811936,6,0.0
