r,epsilon,n,horizon,seed,sigma,motif_size,quantile,threshold,motif_even,motif_odd,comp_even,parity
3.8625,0.132,320,1440,73,0.0,4,0.75,0.8858336806297302,0.4017092429624699,0.0016804681198169173,1.425126387279488e-05,0.400028774842653
3.8625,0.132,320,1440,73,0.0,6,0.25,0.46593204140663147,0.39121237249620994,0.01217144704101183,0.0,0.37904092545519813
3.8625,0.132,320,1440,73,0.0,6,0.5,0.721723735332489,0.987908270301024,0.0,0.0,0.987908270301024
3.8625,0.132,320,1440,73,0.0,6,0.75,0.8858336806297302,0.3885935058183728,0.0002913631256903625,0.0,0.3883021426926825
3.8625,0.132,320,1440,101,0.0,4,0.25,0.4659312665462494,0.40611418144980577,0.008757599184226167,0.0,0.39735658226557957
3.8625,0.132,320,1440,101,0.0,4,0.5,0.7247265577316284,0.9975451510656587,0.0,0.0,0.9975451510656587
3.8625,0.132,320,1440,101,0.0,4,0.75,0.8858337998390198,0.40190061510485153,0.0003795310065299774,9.704501685122774e-07,0.40152108409832155
3.8625,0.132,320,1440,101,0.0,6,0.25,0.4659312665462494,0.3976164335009585,0.0036390797528799436,0.0,0.3939773537480785
3.8625,0.132,320,1440,101,0.0,6,0.5,0.7247265577316284,0.9964832616671261,0.0,0.0,0.9964832616671261
3.8625,0.132,320,1440,101,0.0,6,0.75,0.8858337998390198,0.3961498147026004,5.271084662601677e-05,0.0,0.3960971038559744
3.8625,0.132,320,1440,137,0.0,4,0.25,0.46593213081359863,0.4106324947081658,0.021227470063970723,3.3115412531929316e-05,0.3894050246441951
3.8625,0.132,320,1440,137,0.0,4,0.5,0.7279782295227051,0.9945498742847505,9.218565625084552e-05,0.00010440606400546671,0.9944576886284997
3.8625,0.132,320,1440,137,0.0,4,0.75,0.8858336806297302,0.4107700557381652,0.0010973447099019112,2.6910181723797775e-05,0.4096727110282633
3.8625,0.132,320,1440,137,0.0,6,0.25,0.46593213081359863,0.399756832101085,0.01419716706721629,1.9089867836041897e-06,0.3855596650338687
3.8625,0.132,320,1440,137,0.0,6,0.5,0.7279782295227051,0.9929541486918616,9.708175337021243e-06,1.2148983321733414e-05,0.9929444405165245
3.8625,0.132,320,1440,137,0.0,6,0.75,0.8858336806297302,0.3998408442676664,0.0002524560817448868,2.0194124161292422e-06,0.3995883881859215
3.8625,0.132,320,1440,173,0.0,4,0.25,0.4658704400062561,0.40375000000000005,0.0023441095784791782,0.0,0.40140589042152086
3.8625,0.132,320,1440,173,0.0,4,0.5,0.683475911617279,1.0,0.0,0.0,1.0
3.8625,0.132,320,1440,173,0.0,4,0.75,0.8858437538146973,0.40375000000000005,0.0,0.0,0.40375000000000005
3.8625,0.132,320,1440,173,0.0,6,0.25,0.4658704400062561,0.4,0.0,0.0,0.4
3.8625,0.132,320,1440,173,0.0,6,0.5,0.683475911617279,1.0,0.0,0.0,1.0
3.8625,0.132,320,1440,173,0.0,6,0.75,0.8858437538146973,0.4,0.0,0.0,0.4
3.8625,0.132,320,1440,211,0.0,4,0.25,0.46591702103614807,0.4087887562034328,0.018009027841041865,1.6525858517719808e-05,0.39077972836239094
3.8625,0.132,320,1440,211,0.0,4,0.5,0.7240404486656189,0.9945750458228412,0.0,0.0,0.9945750458228412
3.8625,0.132,320,1440,211,0.0,4,0.75,0.8858341574668884,0.3994490745118041,0.0010187857148332904,1.3623943148728975e-05,0.39843028879697084
3.8625,0.132,320,1440,211,0.0,6,0.25,0.46591702103614807,0.39760013172692044,0.011041831619474812,0.0,0.38655830010744563
3.8625,0.132,320,1440,211,0.0,6,0.5,0.7240404486656189,0.9925886895651331,0.0,0.0,0.9925886895651331
3.8625,0.132,320,1440,211,0.0,6,0.75,0.8858341574668884,0.39199060021268983,0.00015079169838663907,0.0,0.39183980851430317
3.8625,0.132,320,1440,257,0.0,4,0.25,0.4659312963485718,0.4058799867669161,0.014713802405163326,1.0639645058895399e-05,0.39116618436175277
3.8625,0.132,320,1440,257,0.0,4,0.5,0.71849524974823,0.9950630382778849,0.0,0.0,0.9950630382778849
3.8625,0.132,320,1440,257,0.0,4,0.75,0.885833740234375,0.3984970849171653,0.0007727038532925874,9.611703307702538e-06,0.3977243810638727
3.8625,0.132,320,1440,257,0.0,6,0.25,0.4659312963485718,0.3977448240242049,0.007904568038221002,0.0,0.38984025598598393
3.8625,0.132,320,1440,257,0.0,6,0.5,0.71849524974823,0.9929939774784622,0.0,0.0,0.9929939774784622
3.8625,0.132,320,1440,257,0.0,6,0.75,0.885833740234375,0.3940958505100093,0.00011285365447340193,0.0,0.3939829968555359
