r,epsilon,domain_wall_density,mean_wall_velocity,median_wall_velocity,lag1_similarity,lag5_similarity,lag10_similarity,lag20_similarity,motif_simpson,motif_entropy,motif_count,slow_domain_wall_score
3.55,0.08333333333333333,0.4166666666666667,0.25939048960631694,0.23076923076923078,0.21354916067146285,0.2134567901234568,0.7874358974358975,0.9958333333333332,0.0506609693877551,4.580011769678854,30,0.14452847386403278
3.6,0.08333333333333333,0.45357142857142857,0.41546840655230416,0.5416666666666666,0.17745803357314152,0.17753086419753084,0.8221794871794871,0.9558333333333331,0.04306062925170069,4.816828430138864,32,0.0747581290101895
3.7,0.08333333333333333,0.5076190476190476,0.4498705947975944,0.4411764705882353,0.2237410071942446,0.22456790123456793,0.8079487179487179,0.8679166666666667,0.04419628684807256,4.712254674479594,32,0.05900468680742174
3.65,0.08333333333333333,0.43714285714285717,0.6297625635755132,0.6428571428571429,0.26151079136690647,0.26123456790123456,0.7423076923076924,0.9394444444444443,0.046785345804988665,4.652742583489502,32,0.03805074315848315
3.6,0.0,0.5221428571428571,0.5935988961171602,0.475,0.2671462829736211,0.26641975308641974,0.7643589743589744,0.8043055555555555,0.045984523809523815,4.656768400732845,32,0.032006121747293954
3.8,0.08333333333333333,0.6521428571428571,0.42035349179125003,0.3888888888888889,0.2749400479616307,0.27481481481481485,0.7803846153846155,0.8141666666666668,0.06679274376417234,4.142519119103194,31,0.027450004293580663
4.0,0.16666666666666666,0.6745238095238095,0.36932859172580934,0.3055555555555556,0.23189448441247004,0.2590123456790124,0.7885897435897435,0.8036111111111112,0.08924818594104308,4.0716423131941,32,0.025372995169635714
3.9,0.0,0.48238095238095235,0.6552512006038967,0.631578947368421,0.3366906474820144,0.542469135802469,0.512948717948718,0.5030555555555555,0.03437448979591837,4.930648425003306,32,0.02392567125349966
4.0,0.0,0.5092857142857142,0.6293995260795661,0.6176470588235294,0.4961630695443645,0.4981481481481482,0.4998717948717948,0.4988888888888889,0.03138398526077098,4.996816758845878,32,0.022317340109779746
3.4499999999999997,0.0,0.5,0.0,0.0,0.0,0.0,1.0,1.0,0.03638888888888889,4.877480289060882,32,0.022263809470203563
3.95,0.16666666666666666,0.5352380952380953,0.6735893124713648,0.5882352941176471,0.32230215827338127,0.338641975308642,0.7283333333333334,0.7820833333333334,0.05508681972789116,4.464318718888392,32,0.020814254205791822
3.75,0.08333333333333333,0.7211904761904762,0.26258294163748774,0.25,0.22458033573141484,0.22567901234567903,0.7778205128205127,0.9409722222222221,0.08987497165532879,3.8980670025255204,24,0.0188036447794951
