n,motif_size,runs,parity_mean,parity_sd,parity_sem,score_mean,score_sd,motif_entropy_mean,transition_entropy_mean,wall_entropy_mean,max_cluster_lifetime_mean
160,4,12,0.8101466669632886,0.03142678520276458,0.00907213144829034,0.0029715015312459844,0.002255349099604333,0.617803519855945,0.551769513957639,0.1838979082124926,1.4166666666666667
160,6,12,0.751553676438015,0.03717735892633047,0.010732179091938118,0.0029715015312459844,0.002255349099604333,0.6019464354326666,0.5704166490116795,0.1838979082124926,1.4166666666666667
240,4,12,0.815101885785948,0.025285565674466683,0.0072993140743826505,0.002293126943151274,0.00161233484636743,0.598594290765203,0.5373175618730032,0.22382444078371874,1.0833333333333333
240,6,12,0.7593116501319086,0.028653048013224477,0.008271422491769211,0.002293126943151274,0.00161233484636743,0.5775378577437846,0.5424635391848717,0.22382444078371874,1.0833333333333333
320,4,12,0.8162833411900113,0.016454299149120468,0.004749947021535666,0.0074952318918982104,0.017538607118808502,0.5914049637900064,0.5261808613844718,0.21271716625342119,4.333333333333333
320,6,12,0.7590595871712722,0.01971757884981105,0.005691974728353042,0.0074952318918982104,0.017538607118808502,0.5637787936111138,0.5162403849715934,0.21271716625342119,4.333333333333333
480,4,12,0.8078130575341157,0.017884587190322383,0.00516283561433898,0.0034307346847373544,0.001945203370814837,0.5833248842963159,0.5207838071173493,0.21765109313983066,1.5833333333333333
480,6,12,0.7510954113216818,0.020746152700188192,0.005988898423051368,0.0034307346847373544,0.001945203370814837,0.5561786588954928,0.5036965829958265,0.21765109313983066,1.5833333333333333
