n,width,horizons,score_mean,score_min,score_max,score_range,score_cv,parity_mean,motif_even_mean
20,4,4,0.0,0.0,0.0,0.0,,0.9,0.9
20,6,4,0.0,0.0,0.0,0.0,,0.87,0.87
40,4,4,0.0288857514649726,0.0,0.0598077204670323,0.0598077204670323,1.1057014154590064,0.825540671842179,0.8258047099683936
40,6,4,0.028594918368120975,0.0,0.056271153623245,0.056271153623245,1.1045950005019107,0.761646289192165,0.761646289192165
80,4,4,0.052113723422102784,0.0022738933735592,0.1208545027807343,0.1185806094071751,1.1427918447654335,0.749307557827261,0.7502395958024084
80,6,4,0.045754089755716494,0.0022166887887184,0.1066980896099508,0.10448140082123239,1.1407978772401282,0.6768209774590003,0.6768328886258078
