topology,motif_size,runs,parity_mean,parity_sd,motif_entropy_mean,dominant_motif_frequency_mean,transition_entropy_mean,dominant_transition_frequency_mean,motif_repeat_rate_mean
local,4,12,0.8132481663698251,0.01679995064124637,0.5951203769858524,0.3270632595486111,0.5306424185354606,0.2798299238475793,3.61941162844568e-05
local,6,12,0.7551065106350121,0.020219271566652864,0.5680323009119266,0.23965946903935187,0.5214291950583558,0.20419725069492703,2.171646977067408e-06
rewired,4,12,0.7367058789306989,0.024126146437521003,0.9840121244977195,0.10249348958333333,0.8986295012290938,0.04570683489691915,0.00013771861246235812
rewired,6,12,0.6510224600735824,0.027135758030540538,0.9789185238369061,0.03559950086805556,0.9114634859451466,0.013013775480657864,0.0
