motif_size,horizon,p_infinity,p_infinity_se,finite_size_coefficient,finite_size_coefficient_se,r2
4,360,0.7125545505516433,0.013283637759872546,3.454650022010478,0.5425279484697049,0.8710993628775557
4,720,0.7451387199047715,0.0068423171528713125,3.0380412802020538,0.2794526887009875,0.951685875116071
6,360,0.6275652860828018,0.017371391850011686,4.318944545028772,0.7094792671115882,0.86065137734977
6,720,0.6706106303838879,0.008812895128693422,3.7638988640409963,0.3599346805956995,0.947985498402213
