generation,population,mean_A_affinity,mean_B_affinity,genotype_count,lineage_count
49,3893,0.6965065502183406,0.6645260724377087,16.0,875.0
50,3876,0.6977554179566563,0.6658926728586171,16.0,876.0
51,3881,0.698917804689513,0.6679979386755991,16.0,882.0
52,3893,0.7006164911379399,0.6697919342409453,16.0,888.0
53,3900,0.7015384615384616,0.6711538461538461,16.0,890.0
54,3897,0.699640749294329,0.6715422119579163,16.0,892.0
55,3889,0.7004371303677038,0.673695037284649,16.0,889.0
56,3907,0.7016892756590735,0.6772459687739953,16.0,896.0
57,3912,0.7024539877300614,0.6768916155419223,16.0,896.0
58,3933,0.7036613272311213,0.6781083142639207,16.0,900.0
59,3917,0.7055144243043145,0.6803676282869543,16.0,896.0
60,3918,0.7064828994384891,0.6821082184788158,16.0,902.0
61,3895,0.7070603337612323,0.6843388960205391,16.0,901.0
62,3911,0.7057018665302992,0.6840961390948607,16.0,912.0
63,3898,0.706900974858902,0.6840687532067727,16.0,913.0
64,3903,0.7068921342557007,0.687419933384576,16.0,917.0
65,3913,0.7075134168157424,0.6894965499616662,16.0,927.0
66,3910,0.7067774936061381,0.6906649616368287,16.0,941.0
67,3936,0.7089684959349594,0.6891514227642277,16.0,932.0
68,3908,0.710849539406346,0.6910184237461617,16.0,933.0
69,3907,0.7148707448169951,0.6927309956488354,16.0,930.0
70,3915,0.7153256704980843,0.6979565772669221,16.0,934.0
71,3895,0.7142490372272143,0.700385109114249,16.0,932.0
72,3912,0.716002044989775,0.7007924335378323,16.0,937.0
73,3918,0.7182235834609495,0.7029096477794793,16.0,925.0
74,3929,0.7197760244336981,0.7036141511835072,16.0,927.0
75,3923,0.7204945195003823,0.7041804741269436,16.0,922.0
76,3937,0.7188214376428753,0.7054864109728219,16.0,924.0
77,3929,0.7186306948332909,0.7050139984728939,16.0,928.0
78,3922,0.7211881693013769,0.7053799082100969,16.0,931.0
79,3913,0.721824686940966,0.7082800920010223,16.0,933.0
80,3903,0.7241865231872918,0.7080450935178069,16.0,931.0
81,3920,0.7262755102040817,0.7080357142857143,16.0,934.0
82,3929,0.7270297785696106,0.7111224230083991,16.0,934.0
83,3915,0.7273307790549169,0.7111111111111111,16.0,933.0
84,3922,0.729347271800102,0.7127740948495666,16.0,934.0
85,3935,0.7310038119440915,0.7123252858958069,16.0,930.0
86,3929,0.7328836854161365,0.7099770934079919,16.0,928.0
87,3941,0.7336970312103527,0.7132707434661254,16.0,920.0
88,3931,0.7340371406766726,0.7130501144746884,16.0,921.0
89,3912,0.736579754601227,0.7137014314928425,16.0,925.0
90,3897,0.7385168078008725,0.7128560431100847,16.0,925.0
91,3903,0.7389187804253139,0.7127850371509096,16.0,934.0
92,3906,0.7420634920634921,0.7132616487455197,16.0,932.0
93,3931,0.7435766980412108,0.7154668023403714,16.0,938.0
94,3905,0.7448143405889884,0.7163892445582587,16.0,936.0
95,3925,0.7439490445859872,0.7188535031847134,16.0,929.0
96,3912,0.7443762781186094,0.72060327198364,16.0,942.0
97,3928,0.7469450101832994,0.7227596741344195,16.0,942.0
98,3936,0.7473323170731707,0.7234502032520326,16.0,946.0
99,3939,0.7461284589997461,0.7244224422442245,16.0,944.0
100,3929,0.7466276406210232,0.7246118605243065,16.0,938.0
